State,Year,Cause of death,Deaths,Population,Total Deaths
ID,2021,J61 (Pneumoconiosis due to asbestos and other mineral fibres),12,"1,900,923",
ID,2021,J69.0 (Pneumonitis due to food and vomit),108,"1,900,923",
ID,2021,J84.1 (Other interstitial pulmonary diseases with fibrosis),100,"1,900,923",
ID,2021,"J84.9 (Interstitial pulmonary disease, unspecified)",48,"1,900,923",
ID,2021,J96.1 (Chronic respiratory failure),25,"1,900,923",
ID,2021,,,"1,900,923",1449
IL,2021,"J12.9 (Viral pneumonia, unspecified)",18,"12,671,469",
IL,2021,J15.2 (Pneumonia due to staphylococcus),12,"12,671,469",
IL,2021,"J15.9 (Bacterial pneumonia, unspecified)",62,"12,671,469",
IL,2021,"J18.0 (Bronchopneumonia, unspecified)",30,"12,671,469",
IL,2021,"J18.1 (Lobar pneumonia, unspecified)",20,"12,671,469",
IL,2021,"J18.9 (Pneumonia, unspecified)","1,486","12,671,469",
IL,2021,J42 (Unspecified chronic bronchitis),10,"12,671,469",
IL,2021,J43.1 (Panlobular emphysema),18,"12,671,469",
IL,2021,J43.2 (Centrilobular emphysema),15,"12,671,469",
IL,2021,"J43.9 (Emphysema, unspecified)",277,"12,671,469",
IL,2021,J44.0 (Chronic obstructive pulmonary disease with acute lower respiratory infection),462,"12,671,469",
IL,2021,"J44.1 (Chronic obstructive pulmonary disease with acute exacerbation, unspecified)",177,"12,671,469",
IL,2021,J44.8 (Other specified chronic obstructive pulmonary disease),46,"12,671,469",
IL,2021,"J44.9 (Chronic obstructive pulmonary disease, unspecified)","3,766","12,671,469",
IL,2021,"J45.9 (Asthma, unspecified)",110,"12,671,469",
IL,2021,J47 (Bronchiectasis),31,"12,671,469",
IL,2021,J69.0 (Pneumonitis due to food and vomit),974,"12,671,469",
IL,2021,J80 (Adult respiratory distress syndrome),46,"12,671,469",
IL,2021,J81 (Pulmonary oedema),30,"12,671,469",
IL,2021,J84.1 (Other interstitial pulmonary diseases with fibrosis),472,"12,671,469",
IL,2021,"J84.9 (Interstitial pulmonary disease, unspecified)",227,"12,671,469",
IL,2021,J85.0 (Gangrene and necrosis of lung),16,"12,671,469",
IL,2021,J86.9 (Pyothorax without fistula),22,"12,671,469",
IL,2021,"J90 (Pleural effusion, not elsewhere classified)",42,"12,671,469",
IL,2021,"J93.9 (Pneumothorax, unspecified)",26,"12,671,469",
IL,2021,J96.0 (Acute respiratory failure),144,"12,671,469",
IL,2021,J96.1 (Chronic respiratory failure),217,"12,671,469",
IL,2021,"J96.9 (Respiratory failure, unspecified)",150,"12,671,469",
IL,2021,J98.1 (Pulmonary collapse),11,"12,671,469",
IL,2021,J98.4 (Other disorders of lung),75,"12,671,469",
IL,2021,"J98.9 (Respiratory disorder, unspecified)",13,"12,671,469",
IL,2021,,,"12,671,469",9178
IN,2021,J12.8 (Other viral pneumonia),10,"6,805,985",
IN,2021,J15.2 (Pneumonia due to staphylococcus),13,"6,805,985",
IN,2021,"J15.9 (Bacterial pneumonia, unspecified)",92,"6,805,985",
IN,2021,"J18.1 (Lobar pneumonia, unspecified)",16,"6,805,985",
IN,2021,"J18.9 (Pneumonia, unspecified)",536,"6,805,985",
IN,2021,J43.1 (Panlobular emphysema),14,"6,805,985",
IN,2021,J43.2 (Centrilobular emphysema),10,"6,805,985",
IN,2021,"J43.9 (Emphysema, unspecified)",190,"6,805,985",
IN,2021,J44.0 (Chronic obstructive pulmonary disease with acute lower respiratory infection),409,"6,805,985",
IN,2021,"J44.1 (Chronic obstructive pulmonary disease with acute exacerbation, unspecified)",220,"6,805,985",
IN,2021,J44.8 (Other specified chronic obstructive pulmonary disease),33,"6,805,985",
IN,2021,"J44.9 (Chronic obstructive pulmonary disease, unspecified)","3,248","6,805,985",
IN,2021,"J45.9 (Asthma, unspecified)",60,"6,805,985",
IN,2021,J47 (Bronchiectasis),25,"6,805,985",
IN,2021,J69.0 (Pneumonitis due to food and vomit),513,"6,805,985",
IN,2021,J80 (Adult respiratory distress syndrome),27,"6,805,985",
IN,2021,J81 (Pulmonary oedema),15,"6,805,985",
IN,2021,J84.1 (Other interstitial pulmonary diseases with fibrosis),375,"6,805,985",
IN,2021,"J84.9 (Interstitial pulmonary disease, unspecified)",114,"6,805,985",
IN,2021,J86.9 (Pyothorax without fistula),16,"6,805,985",
IN,2021,"J90 (Pleural effusion, not elsewhere classified)",34,"6,805,985",
IN,2021,J96.0 (Acute respiratory failure),142,"6,805,985",
IN,2021,J96.1 (Chronic respiratory failure),189,"6,805,985",
IN,2021,"J96.9 (Respiratory failure, unspecified)",94,"6,805,985",
IN,2021,J98.1 (Pulmonary collapse),11,"6,805,985",
IN,2021,J98.4 (Other disorders of lung),57,"6,805,985",
IN,2021,J98.8 (Other specified respiratory disorders),10,"6,805,985",
IN,2021,,,"6,805,985",6657
IA,2021,"J15.9 (Bacterial pneumonia, unspecified)",15,"3,193,079",
IA,2021,"J18.9 (Pneumonia, unspecified)",309,"3,193,079",
IA,2021,"J43.9 (Emphysema, unspecified)",79,"3,193,079",
IA,2021,J44.0 (Chronic obstructive pulmonary disease with acute lower respiratory infection),194,"3,193,079",
IA,2021,"J44.1 (Chronic obstructive pulmonary disease with acute exacerbation, unspecified)",75,"3,193,079",
IA,2021,J44.8 (Other specified chronic obstructive pulmonary disease),17,"3,193,079",
IA,2021,"J44.9 (Chronic obstructive pulmonary disease, unspecified)","1,242","3,193,079",
IA,2021,"J45.9 (Asthma, unspecified)",35,"3,193,079",
IA,2021,J47 (Bronchiectasis),10,"3,193,079",
IA,2021,J69.0 (Pneumonitis due to food and vomit),193,"3,193,079",
IA,2021,J84.1 (Other interstitial pulmonary diseases with fibrosis),128,"3,193,079",
IA,2021,"J84.9 (Interstitial pulmonary disease, unspecified)",78,"3,193,079",
IA,2021,"J90 (Pleural effusion, not elsewhere classified)",12,"3,193,079",
IA,2021,J96.0 (Acute respiratory failure),32,"3,193,079",
IA,2021,J96.1 (Chronic respiratory failure),52,"3,193,079",
IA,2021,"J96.9 (Respiratory failure, unspecified)",31,"3,193,079",
IA,2021,J98.4 (Other disorders of lung),29,"3,193,079",
IA,2021,,,"3,193,079",2661
KS,2021,"J15.9 (Bacterial pneumonia, unspecified)",22,"2,934,582",
KS,2021,"J18.9 (Pneumonia, unspecified)",331,"2,934,582",
KS,2021,"J43.9 (Emphysema, unspecified)",58,"2,934,582",
KS,2021,J44.0 (Chronic obstructive pulmonary disease with acute lower respiratory infection),165,"2,934,582",
KS,2021,"J44.1 (Chronic obstructive pulmonary disease with acute exacerbation, unspecified)",43,"2,934,582",
KS,2021,J44.8 (Other specified chronic obstructive pulmonary disease),13,"2,934,582",
KS,2021,"J44.9 (Chronic obstructive pulmonary disease, unspecified)","1,167","2,934,582",
KS,2021,"J45.9 (Asthma, unspecified)",33,"2,934,582",
KS,2021,J47 (Bronchiectasis),12,"2,934,582",
KS,2021,J69.0 (Pneumonitis due to food and vomit),241,"2,934,582",
KS,2021,J80 (Adult respiratory distress syndrome),12,"2,934,582",
KS,2021,J84.1 (Other interstitial pulmonary diseases with fibrosis),114,"2,934,582",
KS,2021,"J84.9 (Interstitial pulmonary disease, unspecified)",84,"2,934,582",
KS,2021,"J90 (Pleural effusion, not elsewhere classified)",10,"2,934,582",
KS,2021,J96.0 (Acute respiratory failure),23,"2,934,582",
KS,2021,J96.1 (Chronic respiratory failure),64,"2,934,582",
KS,2021,"J96.9 (Respiratory failure, unspecified)",17,"2,934,582",
KS,2021,J98.4 (Other disorders of lung),29,"2,934,582",
KS,2021,,,"2,934,582",2570
KY,2021,J12.8 (Other viral pneumonia),11,"4,509,394",
KY,2021,J15.1 (Pneumonia due to Pseudomonas),10,"4,509,394",
KY,2021,J15.2 (Pneumonia due to staphylococcus),11,"4,509,394",
KY,2021,"J15.9 (Bacterial pneumonia, unspecified)",21,"4,509,394",
KY,2021,"J18.9 (Pneumonia, unspecified)",641,"4,509,394",
KY,2021,"J43.9 (Emphysema, unspecified)",104,"4,509,394",
KY,2021,J44.0 (Chronic obstructive pulmonary disease with acute lower respiratory infection),401,"4,509,394",
KY,2021,"J44.1 (Chronic obstructive pulmonary disease with acute exacerbation, unspecified)",149,"4,509,394",
KY,2021,J44.8 (Other specified chronic obstructive pulmonary disease),17,"4,509,394",
KY,2021,"J44.9 (Chronic obstructive pulmonary disease, unspecified)","2,526","4,509,394",
KY,2021,"J45.9 (Asthma, unspecified)",20,"4,509,394",
KY,2021,J47 (Bronchiectasis),11,"4,509,394",
KY,2021,J60 (Coalworker pneumoconiosis),29,"4,509,394",
KY,2021,J64 (Unspecified pneumoconiosis),11,"4,509,394",
KY,2021,J69.0 (Pneumonitis due to food and vomit),259,"4,509,394",
KY,2021,J80 (Adult respiratory distress syndrome),36,"4,509,394",
KY,2021,J81 (Pulmonary oedema),15,"4,509,394",
KY,2021,J84.1 (Other interstitial pulmonary diseases with fibrosis),211,"4,509,394",
KY,2021,"J84.9 (Interstitial pulmonary disease, unspecified)",77,"4,509,394",
KY,2021,J86.9 (Pyothorax without fistula),10,"4,509,394",
KY,2021,"J90 (Pleural effusion, not elsewhere classified)",39,"4,509,394",
KY,2021,"J93.9 (Pneumothorax, unspecified)",18,"4,509,394",
KY,2021,J96.0 (Acute respiratory failure),90,"4,509,394",
KY,2021,J96.1 (Chronic respiratory failure),172,"4,509,394",
KY,2021,"J96.9 (Respiratory failure, unspecified)",146,"4,509,394",
KY,2021,J98.2 (Interstitial emphysema),11,"4,509,394",
KY,2021,J98.4 (Other disorders of lung),22,"4,509,394",
KY,2021,,,"4,509,394","5,201"
LA,2021,J12.8 (Other viral pneumonia),10,"4,624,047",
LA,2021,J15.2 (Pneumonia due to staphylococcus),11,"4,624,047",
LA,2021,"J15.9 (Bacterial pneumonia, unspecified)",18,"4,624,047",
LA,2021,"J18.0 (Bronchopneumonia, unspecified)",12,"4,624,047",
LA,2021,"J18.1 (Lobar pneumonia, unspecified)",10,"4,624,047",
LA,2021,"J18.9 (Pneumonia, unspecified)",559,"4,624,047",
LA,2021,"J43.9 (Emphysema, unspecified)",68,"4,624,047",
LA,2021,J44.0 (Chronic obstructive pulmonary disease with acute lower respiratory infection),141,"4,624,047",
LA,2021,"J44.1 (Chronic obstructive pulmonary disease with acute exacerbation, unspecified)",52,"4,624,047",
LA,2021,J44.8 (Other specified chronic obstructive pulmonary disease),24,"4,624,047",
LA,2021,"J44.9 (Chronic obstructive pulmonary disease, unspecified)","1,818","4,624,047",
LA,2021,"J45.9 (Asthma, unspecified)",37,"4,624,047",
LA,2021,J47 (Bronchiectasis),12,"4,624,047",
LA,2021,J61 (Pneumoconiosis due to asbestos and other mineral fibres),10,"4,624,047",
LA,2021,J69.0 (Pneumonitis due to food and vomit),212,"4,624,047",
LA,2021,J80 (Adult respiratory distress syndrome),33,"4,624,047",
LA,2021,J81 (Pulmonary oedema),10,"4,624,047",
LA,2021,J84.1 (Other interstitial pulmonary diseases with fibrosis),200,"4,624,047",
LA,2021,"J84.9 (Interstitial pulmonary disease, unspecified)",81,"4,624,047",
LA,2021,J86.9 (Pyothorax without fistula),15,"4,624,047",
LA,2021,"J90 (Pleural effusion, not elsewhere classified)",27,"4,624,047",
LA,2021,J96.0 (Acute respiratory failure),147,"4,624,047",
LA,2021,J96.1 (Chronic respiratory failure),156,"4,624,047",
LA,2021,"J96.9 (Respiratory failure, unspecified)",189,"4,624,047",
LA,2021,J98.4 (Other disorders of lung),168,"4,624,047",
LA,2021,,,"4,624,047","4,127"
ME,2021,"J15.9 (Bacterial pneumonia, unspecified)",36,"1,372,247",
ME,2021,"J18.9 (Pneumonia, unspecified)",154,"1,372,247",
ME,2021,"J43.9 (Emphysema, unspecified)",46,"1,372,247",
ME,2021,J44.0 (Chronic obstructive pulmonary disease with acute lower respiratory infection),102,"1,372,247",
ME,2021,"J44.1 (Chronic obstructive pulmonary disease with acute exacerbation, unspecified)",46,"1,372,247",
ME,2021,"J44.9 (Chronic obstructive pulmonary disease, unspecified)",679,"1,372,247",
ME,2021,J69.0 (Pneumonitis due to food and vomit),19,"1,372,247",
ME,2021,J84.1 (Other interstitial pulmonary diseases with fibrosis),99,"1,372,247",
ME,2021,"J84.9 (Interstitial pulmonary disease, unspecified)",50,"1,372,247",
ME,2021,J96.1 (Chronic respiratory failure),15,"1,372,247",
ME,2021,"J96.9 (Respiratory failure, unspecified)",12,"1,372,247",
ME,2021,J98.4 (Other disorders of lung),17,"1,372,247",
ME,2021,"J98.9 (Respiratory disorder, unspecified)",11,"1,372,247",
ME,2021,,,"1,372,247","1,369"
MD,2021,"J15.9 (Bacterial pneumonia, unspecified)",15,"6,165,129",
MD,2021,"J18.9 (Pneumonia, unspecified)",563,"6,165,129",
MD,2021,"J43.9 (Emphysema, unspecified)",77,"6,165,129",
MD,2021,J44.0 (Chronic obstructive pulmonary disease with acute lower respiratory infection),252,"6,165,129",
MD,2021,"J44.1 (Chronic obstructive pulmonary disease with acute exacerbation, unspecified)",55,"6,165,129",
MD,2021,J44.8 (Other specified chronic obstructive pulmonary disease),19,"6,165,129",
MD,2021,"J44.9 (Chronic obstructive pulmonary disease, unspecified)","1,315","6,165,129",
MD,2021,"J45.9 (Asthma, unspecified)",74,"6,165,129",
MD,2021,J47 (Bronchiectasis),11,"6,165,129",
MD,2021,J69.0 (Pneumonitis due to food and vomit),420,"6,165,129",
MD,2021,J80 (Adult respiratory distress syndrome),17,"6,165,129",
MD,2021,J84.1 (Other interstitial pulmonary diseases with fibrosis),222,"6,165,129",
MD,2021,"J84.9 (Interstitial pulmonary disease, unspecified)",141,"6,165,129",
MD,2021,"J90 (Pleural effusion, not elsewhere classified)",41,"6,165,129",
MD,2021,J96.1 (Chronic respiratory failure),50,"6,165,129",
MD,2021,J98.4 (Other disorders of lung),37,"6,165,129",
MD,2021,J98.8 (Other specified respiratory disorders),10,"6,165,129",
MD,2021,,,"6,165,129","3,478"
MA,2021,J15.2 (Pneumonia due to staphylococcus),15,"6,984,723",
MA,2021,"J15.9 (Bacterial pneumonia, unspecified)",21,"6,984,723",
MA,2021,"J18.1 (Lobar pneumonia, unspecified)",11,"6,984,723",
MA,2021,"J18.9 (Pneumonia, unspecified)",727,"6,984,723",
MA,2021,"J43.9 (Emphysema, unspecified)",129,"6,984,723",
MA,2021,J44.0 (Chronic obstructive pulmonary disease with acute lower respiratory infection),256,"6,984,723",
MA,2021,"J44.1 (Chronic obstructive pulmonary disease with acute exacerbation, unspecified)",122,"6,984,723",
MA,2021,J44.8 (Other specified chronic obstructive pulmonary disease),13,"6,984,723",
MA,2021,"J44.9 (Chronic obstructive pulmonary disease, unspecified)","1,768","6,984,723",
MA,2021,"J45.9 (Asthma, unspecified)",71,"6,984,723",
MA,2021,J47 (Bronchiectasis),35,"6,984,723",
MA,2021,J69.0 (Pneumonitis due to food and vomit),676,"6,984,723",
MA,2021,J80 (Adult respiratory distress syndrome),22,"6,984,723",
MA,2021,J84.1 (Other interstitial pulmonary diseases with fibrosis),245,"6,984,723",
MA,2021,"J84.9 (Interstitial pulmonary disease, unspecified)",254,"6,984,723",
MA,2021,J86.9 (Pyothorax without fistula),14,"6,984,723",
MA,2021,"J90 (Pleural effusion, not elsewhere classified)",38,"6,984,723",
MA,2021,"J93.9 (Pneumothorax, unspecified)",10,"6,984,723",
MA,2021,J96.0 (Acute respiratory failure),73,"6,984,723",
MA,2021,J96.1 (Chronic respiratory failure),87,"6,984,723",
MA,2021,"J96.9 (Respiratory failure, unspecified)",106,"6,984,723",
MA,2021,J98.4 (Other disorders of lung),52,"6,984,723",
MA,2021,J98.8 (Other specified respiratory disorders),14,"6,984,723",
MA,2021,"J98.9 (Respiratory disorder, unspecified)",10,"6,984,723",
MA,2021,,,"6,984,723","4,926"
MI,2021,J12.8 (Other viral pneumonia),16,"10,050,811",
MI,2021,"J12.9 (Viral pneumonia, unspecified)",13,"10,050,811",
MI,2021,J15.1 (Pneumonia due to Pseudomonas),11,"10,050,811",
MI,2021,J15.2 (Pneumonia due to staphylococcus),21,"10,050,811",
MI,2021,"J15.9 (Bacterial pneumonia, unspecified)",60,"10,050,811",
MI,2021,"J18.0 (Bronchopneumonia, unspecified)",17,"10,050,811",
MI,2021,"J18.1 (Lobar pneumonia, unspecified)",11,"10,050,811",
MI,2021,"J18.9 (Pneumonia, unspecified)","1,133","10,050,811",
MI,2021,J43.1 (Panlobular emphysema),11,"10,050,811",
MI,2021,J43.2 (Centrilobular emphysema),11,"10,050,811",
MI,2021,"J43.9 (Emphysema, unspecified)",216,"10,050,811",
MI,2021,J44.0 (Chronic obstructive pulmonary disease with acute lower respiratory infection),421,"10,050,811",
MI,2021,"J44.1 (Chronic obstructive pulmonary disease with acute exacerbation, unspecified)",213,"10,050,811",
MI,2021,J44.8 (Other specified chronic obstructive pulmonary disease),41,"10,050,811",
MI,2021,"J44.9 (Chronic obstructive pulmonary disease, unspecified)","4,180","10,050,811",
MI,2021,"J45.9 (Asthma, unspecified)",83,"10,050,811",
MI,2021,J47 (Bronchiectasis),21,"10,050,811",
MI,2021,J69.0 (Pneumonitis due to food and vomit),462,"10,050,811",
MI,2021,J80 (Adult respiratory distress syndrome),28,"10,050,811",
MI,2021,J81 (Pulmonary oedema),17,"10,050,811",
MI,2021,J84.1 (Other interstitial pulmonary diseases with fibrosis),509,"10,050,811",
MI,2021,"J84.9 (Interstitial pulmonary disease, unspecified)",186,"10,050,811",
MI,2021,J86.9 (Pyothorax without fistula),18,"10,050,811",
MI,2021,"J90 (Pleural effusion, not elsewhere classified)",51,"10,050,811",
MI,2021,"J93.9 (Pneumothorax, unspecified)",18,"10,050,811",
MI,2021,J96.0 (Acute respiratory failure),62,"10,050,811",
MI,2021,J96.1 (Chronic respiratory failure),138,"10,050,811",
MI,2021,"J96.9 (Respiratory failure, unspecified)",68,"10,050,811",
MI,2021,J98.4 (Other disorders of lung),50,"10,050,811",
MI,2021,,,"10,050,811","8,268"
MN,2021,"J15.9 (Bacterial pneumonia, unspecified)",20,"5,707,390",
MN,2021,"J18.9 (Pneumonia, unspecified)",314,"5,707,390",
MN,2021,J43.1 (Panlobular emphysema),11,"5,707,390",
MN,2021,"J43.9 (Emphysema, unspecified)",121,"5,707,390",
MN,2021,J44.0 (Chronic obstructive pulmonary disease with acute lower respiratory infection),244,"5,707,390",
MN,2021,"J44.1 (Chronic obstructive pulmonary disease with acute exacerbation, unspecified)",81,"5,707,390",
MN,2021,J44.8 (Other specified chronic obstructive pulmonary disease),23,"5,707,390",
MN,2021,"J44.9 (Chronic obstructive pulmonary disease, unspecified)","1,486","5,707,390",
MN,2021,"J45.9 (Asthma, unspecified)",50,"5,707,390",
MN,2021,J47 (Bronchiectasis),37,"5,707,390",
MN,2021,J61 (Pneumoconiosis due to asbestos and other mineral fibres),13,"5,707,390",
MN,2021,J67.9 (Hypersensitivity pneumonitis due to unspecified organic dust),11,"5,707,390",
MN,2021,J69.0 (Pneumonitis due to food and vomit),237,"5,707,390",
MN,2021,J80 (Adult respiratory distress syndrome),28,"5,707,390",
MN,2021,"J82 (Pulmonary eosinophilia, not elsewhere classified)",15,"5,707,390",
MN,2021,J84.1 (Other interstitial pulmonary diseases with fibrosis),236,"5,707,390",
MN,2021,"J84.9 (Interstitial pulmonary disease, unspecified)",152,"5,707,390",
MN,2021,J86.9 (Pyothorax without fistula),16,"5,707,390",
MN,2021,"J90 (Pleural effusion, not elsewhere classified)",17,"5,707,390",
MN,2021,J96.0 (Acute respiratory failure),15,"5,707,390",
MN,2021,J96.1 (Chronic respiratory failure),69,"5,707,390",
MN,2021,"J96.9 (Respiratory failure, unspecified)",15,"5,707,390",
MN,2021,J98.4 (Other disorders of lung),41,"5,707,390",
MN,2021,J98.8 (Other specified respiratory disorders),11,"5,707,390",
MN,2021,,,"5,707,390","3,411"
MS,2021,J15.2 (Pneumonia due to staphylococcus),10,"2,949,965",
MS,2021,"J15.9 (Bacterial pneumonia, unspecified)",32,"2,949,965",
MS,2021,"J18.9 (Pneumonia, unspecified)",611,"2,949,965",
MS,2021,"J43.9 (Emphysema, unspecified)",87,"2,949,965",
MS,2021,J44.0 (Chronic obstructive pulmonary disease with acute lower respiratory infection),247,"2,949,965",
MS,2021,"J44.1 (Chronic obstructive pulmonary disease with acute exacerbation, unspecified)",65,"2,949,965",
MS,2021,J44.8 (Other specified chronic obstructive pulmonary disease),37,"2,949,965",
MS,2021,"J44.9 (Chronic obstructive pulmonary disease, unspecified)","1,639","2,949,965",
MS,2021,"J45.9 (Asthma, unspecified)",43,"2,949,965",
MS,2021,J69.0 (Pneumonitis due to food and vomit),225,"2,949,965",
MS,2021,J80 (Adult respiratory distress syndrome),21,"2,949,965",
MS,2021,J84.1 (Other interstitial pulmonary diseases with fibrosis),138,"2,949,965",
MS,2021,"J84.9 (Interstitial pulmonary disease, unspecified)",71,"2,949,965",
MS,2021,"J90 (Pleural effusion, not elsewhere classified)",13,"2,949,965",
MS,2021,J96.0 (Acute respiratory failure),96,"2,949,965",
MS,2021,J96.1 (Chronic respiratory failure),35,"2,949,965",
MS,2021,"J96.9 (Respiratory failure, unspecified)",23,"2,949,965",
MS,2021,J98.4 (Other disorders of lung),26,"2,949,965",
MS,2021,"J98.9 (Respiratory disorder, unspecified)",10,"2,949,965",
MS,2021,,,"2,949,965","3,551"
MO,2021,J12.8 (Other viral pneumonia),31,"6,168,187",
MO,2021,"J12.9 (Viral pneumonia, unspecified)",12,"6,168,187",
MO,2021,"J15.9 (Bacterial pneumonia, unspecified)",64,"6,168,187",
MO,2021,"J18.0 (Bronchopneumonia, unspecified)",15,"6,168,187",
MO,2021,"J18.1 (Lobar pneumonia, unspecified)",10,"6,168,187",
MO,2021,"J18.9 (Pneumonia, unspecified)",703,"6,168,187",
MO,2021,J43.1 (Panlobular emphysema),12,"6,168,187",
